"trainer/global_step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX","pretraining - _step","pretraining - _step__MIN","pretraining - _step__MAX"
"1599","86.97071075439453","86.97071075439453","86.97071075439453","159","159","159"
"1629","88.02518463134766","88.02518463134766","88.02518463134766","162","162","162"
"1639","98.8644027709961","98.8644027709961","98.8644027709961","163","163","163"
"1669","42.061973571777344","42.061973571777344","42.061973571777344","166","166","166"
"1679","141.49224853515625","141.49224853515625","141.49224853515625","167","167","167"
"1709","37.50169372558594","37.50169372558594","37.50169372558594","170","170","170"
"1719","66.76666259765625","66.76666259765625","66.76666259765625","171","171","171"
"1729","49.84364318847656","49.84364318847656","49.84364318847656","172","172","172"
"1739","846.5830078125","846.5830078125","846.5830078125","173","173","173"
"1749","50.756065368652344","50.756065368652344","50.756065368652344","174","174","174"
"1759","139.10598754882812","139.10598754882812","139.10598754882812","175","175","175"
"1779","38.783565521240234","38.783565521240234","38.783565521240234","177","177","177"
"1849","525.8523559570312","525.8523559570312","525.8523559570312","184","184","184"
"1859","58.644195556640625","58.644195556640625","58.644195556640625","185","185","185"
"1879","127.79679870605469","127.79679870605469","127.79679870605469","187","187","187"
"1899","153.23880004882812","153.23880004882812","153.23880004882812","189","189","189"
"1929","270.4029541015625","270.4029541015625","270.4029541015625","192","192","192"
"1949","53.318782806396484","53.318782806396484","53.318782806396484","194","194","194"
"1969","49.946319580078125","49.946319580078125","49.946319580078125","196","196","196"
"1979","87.19605255126953","87.19605255126953","87.19605255126953","197","197","197"
"2099","66.39668273925781","66.39668273925781","66.39668273925781","209","209","209"
"2119","74.03779602050781","74.03779602050781","74.03779602050781","211","211","211"
"2139","71.46821594238281","71.46821594238281","71.46821594238281","213","213","213"
"2219","69.62808990478516","69.62808990478516","69.62808990478516","221","221","221"
"2239","51.96778106689453","51.96778106689453","51.96778106689453","223","223","223"
"2249","54.45329666137695","54.45329666137695","54.45329666137695","224","224","224"
"2259","47.4869499206543","47.4869499206543","47.4869499206543","225","225","225"
"2269","47.94104766845703","47.94104766845703","47.94104766845703","226","226","226"
"2279","49.027671813964844","49.027671813964844","49.027671813964844","227","227","227"
"2299","59.498329162597656","59.498329162597656","59.498329162597656","229","229","229"
"2309","116.1653060913086","116.1653060913086","116.1653060913086","230","230","230"
"2339","73.86923217773438","73.86923217773438","73.86923217773438","233","233","233"
"2349","156.65960693359375","156.65960693359375","156.65960693359375","234","234","234"
"2359","247.48614501953125","247.48614501953125","247.48614501953125","235","235","235"
"2409","89.483154296875","89.483154296875","89.483154296875","240","240","240"
"2439","124.3607177734375","124.3607177734375","124.3607177734375","243","243","243"
"2449","111.38063049316406","111.38063049316406","111.38063049316406","244","244","244"
"2469","368.7006530761719","368.7006530761719","368.7006530761719","246","246","246"
"2479","41.3431282043457","41.3431282043457","41.3431282043457","247","247","247"
"2499","39.16492462158203","39.16492462158203","39.16492462158203","249","249","249"
"2539","66.82635498046875","66.82635498046875","66.82635498046875","253","253","253"
"2549","51.746131896972656","51.746131896972656","51.746131896972656","254","254","254"
"2589","96.84214782714844","96.84214782714844","96.84214782714844","258","258","258"
"2659","37.30561828613281","37.30561828613281","37.30561828613281","265","265","265"
"2679","103.61051940917969","103.61051940917969","103.61051940917969","267","267","267"
"2699","60.982093811035156","60.982093811035156","60.982093811035156","269","269","269"
"2729","45.306400299072266","45.306400299072266","45.306400299072266","272","272","272"
"2739","148.35507202148438","148.35507202148438","148.35507202148438","273","273","273"
"2769","44.57805633544922","44.57805633544922","44.57805633544922","276","276","276"
"2779","169.6394805908203","169.6394805908203","169.6394805908203","277","277","277"
"2809","118.69344329833984","118.69344329833984","118.69344329833984","280","280","280"
"2839","44.16814041137695","44.16814041137695","44.16814041137695","283","283","283"
"2899","142.23681640625","142.23681640625","142.23681640625","289","289","289"
"2919","69.7655029296875","69.7655029296875","69.7655029296875","291","291","291"
"2949","51.875099182128906","51.875099182128906","51.875099182128906","294","294","294"
"3009","40.78944396972656","40.78944396972656","40.78944396972656","300","300","300"
"3029","37.13286590576172","37.13286590576172","37.13286590576172","302","302","302"
"3039","62.99856948852539","62.99856948852539","62.99856948852539","303","303","303"
"3049","92.1668472290039","92.1668472290039","92.1668472290039","304","304","304"
"3059","86.29118347167969","86.29118347167969","86.29118347167969","305","305","305"
"3089","85.97663879394531","85.97663879394531","85.97663879394531","308","308","308"
"3099","73.96390533447266","73.96390533447266","73.96390533447266","309","309","309"
"3139","81.96238708496094","81.96238708496094","81.96238708496094","313","313","313"
"3149","252.0571746826172","252.0571746826172","252.0571746826172","314","314","314"
"3169","123.96549987792969","123.96549987792969","123.96549987792969","316","316","316"
"3179","53.49900817871094","53.49900817871094","53.49900817871094","317","317","317"
"3199","119.97819519042969","119.97819519042969","119.97819519042969","319","319","319"
"3249","124.16023254394531","124.16023254394531","124.16023254394531","324","324","324"
"3309","41.13616180419922","41.13616180419922","41.13616180419922","330","330","330"
"3319","192.86761474609375","192.86761474609375","192.86761474609375","331","331","331"
"3359","147.61642456054688","147.61642456054688","147.61642456054688","335","335","335"
"3369","53.57257080078125","53.57257080078125","53.57257080078125","336","336","336"
"3379","142.85076904296875","142.85076904296875","142.85076904296875","337","337","337"
"3439","188.73277282714844","188.73277282714844","188.73277282714844","343","343","343"
"3469","274.5044250488281","274.5044250488281","274.5044250488281","346","346","346"
"3489","62.346927642822266","62.346927642822266","62.346927642822266","348","348","348"
"3509","62.59513854980469","62.59513854980469","62.59513854980469","350","350","350"
"3529","41.515594482421875","41.515594482421875","41.515594482421875","352","352","352"
"3559","70.8147964477539","70.8147964477539","70.8147964477539","355","355","355"
"3609","78.93351745605469","78.93351745605469","78.93351745605469","360","360","360"
"3619","43.73689270019531","43.73689270019531","43.73689270019531","361","361","361"
"3649","103.06415557861328","103.06415557861328","103.06415557861328","364","364","364"
"3669","59.099693298339844","59.099693298339844","59.099693298339844","366","366","366"
"3679","53.95449447631836","53.95449447631836","53.95449447631836","367","367","367"
"3699","43.36005783081055","43.36005783081055","43.36005783081055","369","369","369"
"3719","56.575538635253906","56.575538635253906","56.575538635253906","371","371","371"
"3769","92.62847137451172","92.62847137451172","92.62847137451172","376","376","376"
"3779","56.994781494140625","56.994781494140625","56.994781494140625","377","377","377"
"3819","58.800270080566406","58.800270080566406","58.800270080566406","381","381","381"
"3889","69.89839935302734","69.89839935302734","69.89839935302734","388","388","388"
"3899","61.53618621826172","61.53618621826172","61.53618621826172","389","389","389"
"3919","169.70196533203125","169.70196533203125","169.70196533203125","391","391","391"
"3949","80.51344299316406","80.51344299316406","80.51344299316406","394","394","394"
"3969","205.3135528564453","205.3135528564453","205.3135528564453","396","396","396"
"4009","58.99496841430664","58.99496841430664","58.99496841430664","400","400","400"
"4049","36.824241638183594","36.824241638183594","36.824241638183594","404","404","404"
"4059","75.57196044921875","75.57196044921875","75.57196044921875","405","405","405"
"4069","81.10309600830078","81.10309600830078","81.10309600830078","406","406","406"
"4099","150.07489013671875","150.07489013671875","150.07489013671875","409","409","409"
"4139","140.8763427734375","140.8763427734375","140.8763427734375","413","413","413"
"4249","33.462310791015625","33.462310791015625","33.462310791015625","424","424","424"
"4259","69.61786651611328","69.61786651611328","69.61786651611328","425","425","425"
"4269","105.11164855957031","105.11164855957031","105.11164855957031","426","426","426"
"4279","290.80157470703125","290.80157470703125","290.80157470703125","427","427","427"
"4299","72.20840454101562","72.20840454101562","72.20840454101562","429","429","429"
"4349","95.91014099121094","95.91014099121094","95.91014099121094","434","434","434"
"4409","46.55350112915039","46.55350112915039","46.55350112915039","440","440","440"
"4419","38.38970184326172","38.38970184326172","38.38970184326172","441","441","441"
"4469","53.69134521484375","53.69134521484375","53.69134521484375","446","446","446"
"4509","102.01248931884766","102.01248931884766","102.01248931884766","450","450","450"
"4539","146.44168090820312","146.44168090820312","146.44168090820312","453","453","453"
"4549","62.93236541748047","62.93236541748047","62.93236541748047","454","454","454"
"4569","46.51538848876953","46.51538848876953","46.51538848876953","456","456","456"
"4579","99.52933502197266","99.52933502197266","99.52933502197266","457","457","457"
"4599","123.62574768066406","123.62574768066406","123.62574768066406","459","459","459"
"4609","82.49386596679688","82.49386596679688","82.49386596679688","460","460","460"
"4619","47.36997604370117","47.36997604370117","47.36997604370117","461","461","461"
"4629","59.183143615722656","59.183143615722656","59.183143615722656","462","462","462"
"4649","80.72623443603516","80.72623443603516","80.72623443603516","464","464","464"
"4679","99.86532592773438","99.86532592773438","99.86532592773438","467","467","467"
"4699","84.1385269165039","84.1385269165039","84.1385269165039","469","469","469"
"4719","71.01248931884766","71.01248931884766","71.01248931884766","471","471","471"
"4749","82.00896453857422","82.00896453857422","82.00896453857422","474","474","474"
"4769","87.17349243164062","87.17349243164062","87.17349243164062","476","476","476"
"4819","140.04566955566406","140.04566955566406","140.04566955566406","481","481","481"
"4829","44.51044464111328","44.51044464111328","44.51044464111328","482","482","482"
"4879","61.61269760131836","61.61269760131836","61.61269760131836","487","487","487"
"4889","92.04879760742188","92.04879760742188","92.04879760742188","488","488","488"
"4899","42.15068054199219","42.15068054199219","42.15068054199219","489","489","489"
"4939","70.75031280517578","70.75031280517578","70.75031280517578","493","493","493"
"4949","83.2732925415039","83.2732925415039","83.2732925415039","494","494","494"
"4959","62.41388702392578","62.41388702392578","62.41388702392578","495","495","495"
"4969","182.07717895507812","182.07717895507812","182.07717895507812","496","496","496"
"4979","83.90341186523438","83.90341186523438","83.90341186523438","497","497","497"
"4989","39.44877624511719","39.44877624511719","39.44877624511719","498","498","498"
"5009","48.238956451416016","48.238956451416016","48.238956451416016","500","500","500"
"5019","117.49323272705078","117.49323272705078","117.49323272705078","501","501","501"
"5029","67.89917755126953","67.89917755126953","67.89917755126953","502","502","502"
"5059","74.94210815429688","74.94210815429688","74.94210815429688","505","505","505"
"5109","79.96771240234375","79.96771240234375","79.96771240234375","510","510","510"
"5119","44.015480041503906","44.015480041503906","44.015480041503906","511","511","511"
"5129","74.76178741455078","74.76178741455078","74.76178741455078","512","512","512"
"5139","58.81105041503906","58.81105041503906","58.81105041503906","513","513","513"
"5149","53.80297088623047","53.80297088623047","53.80297088623047","514","514","514"
"5169","45.79483413696289","45.79483413696289","45.79483413696289","516","516","516"
"5189","106.12171936035156","106.12171936035156","106.12171936035156","518","518","518"
"5259","125.06636810302734","125.06636810302734","125.06636810302734","525","525","525"
"5269","109.52775573730469","109.52775573730469","109.52775573730469","526","526","526"
