"trainer/global_step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX","pretraining - _step","pretraining - _step__MIN","pretraining - _step__MAX"
"9","1314.411376953125","1314.411376953125","1314.411376953125","0","0","0"
"59","335.34783935546875","335.34783935546875","335.34783935546875","5","5","5"
"99","645.5274658203125","645.5274658203125","645.5274658203125","9","9","9"
"119","589.41748046875","589.41748046875","589.41748046875","11","11","11"
"149","1177.053466796875","1177.053466796875","1177.053466796875","14","14","14"
"169","811.7332763671875","811.7332763671875","811.7332763671875","16","16","16"
"179","838.3450927734375","838.3450927734375","838.3450927734375","17","17","17"
"189","284.2911071777344","284.2911071777344","284.2911071777344","18","18","18"
"199","712.7437133789062","712.7437133789062","712.7437133789062","19","19","19"
"219","1071.8707275390625","1071.8707275390625","1071.8707275390625","21","21","21"
"259","267.995849609375","267.995849609375","267.995849609375","25","25","25"
"269","324.57391357421875","324.57391357421875","324.57391357421875","26","26","26"
"339","262.5313720703125","262.5313720703125","262.5313720703125","33","33","33"
"359","221.85462951660156","221.85462951660156","221.85462951660156","35","35","35"
"369","33.68999099731445","33.68999099731445","33.68999099731445","36","36","36"
"399","322.822998046875","322.822998046875","322.822998046875","39","39","39"
"429","537.1261596679688","537.1261596679688","537.1261596679688","42","42","42"
"449","275.2814636230469","275.2814636230469","275.2814636230469","44","44","44"
"469","543.0751953125","543.0751953125","543.0751953125","46","46","46"
"489","408.77197265625","408.77197265625","408.77197265625","48","48","48"
"519","99.37283325195312","99.37283325195312","99.37283325195312","51","51","51"
"529","42.22248458862305","42.22248458862305","42.22248458862305","52","52","52"
"569","149.54879760742188","149.54879760742188","149.54879760742188","56","56","56"
"589","159.21768188476562","159.21768188476562","159.21768188476562","58","58","58"
"599","527.4521484375","527.4521484375","527.4521484375","59","59","59"
"629","213.47763061523438","213.47763061523438","213.47763061523438","62","62","62"
"639","38.51751708984375","38.51751708984375","38.51751708984375","63","63","63"
"669","325.35357666015625","325.35357666015625","325.35357666015625","66","66","66"
"689","52.79877471923828","52.79877471923828","52.79877471923828","68","68","68"
"709","193.93772888183594","193.93772888183594","193.93772888183594","70","70","70"
"719","258.54559326171875","258.54559326171875","258.54559326171875","71","71","71"
"729","48.36773681640625","48.36773681640625","48.36773681640625","72","72","72"
"739","239.16973876953125","239.16973876953125","239.16973876953125","73","73","73"
"749","136.09405517578125","136.09405517578125","136.09405517578125","74","74","74"
"769","54.02359390258789","54.02359390258789","54.02359390258789","76","76","76"
"779","127.39928436279297","127.39928436279297","127.39928436279297","77","77","77"
"799","71.67388916015625","71.67388916015625","71.67388916015625","79","79","79"
"829","149.1836395263672","149.1836395263672","149.1836395263672","82","82","82"
"839","42.48094940185547","42.48094940185547","42.48094940185547","83","83","83"
"879","70.0429916381836","70.0429916381836","70.0429916381836","87","87","87"
"889","116.01889038085938","116.01889038085938","116.01889038085938","88","88","88"
"919","65.13509368896484","65.13509368896484","65.13509368896484","91","91","91"
"949","188.47979736328125","188.47979736328125","188.47979736328125","94","94","94"
"969","146.0085906982422","146.0085906982422","146.0085906982422","96","96","96"
"999","145.92491149902344","145.92491149902344","145.92491149902344","99","99","99"
"1029","89.11429595947266","89.11429595947266","89.11429595947266","102","102","102"
"1059","119.48486328125","119.48486328125","119.48486328125","105","105","105"
"1079","37.86000061035156","37.86000061035156","37.86000061035156","107","107","107"
"1179","40.87791061401367","40.87791061401367","40.87791061401367","117","117","117"
"1189","55.77235412597656","55.77235412597656","55.77235412597656","118","118","118"
"1219","55.120887756347656","55.120887756347656","55.120887756347656","121","121","121"
"1239","61.07102584838867","61.07102584838867","61.07102584838867","123","123","123"
"1259","80.14872741699219","80.14872741699219","80.14872741699219","125","125","125"
"1279","171.1776580810547","171.1776580810547","171.1776580810547","127","127","127"
"1359","103.08328247070312","103.08328247070312","103.08328247070312","135","135","135"
"1369","159.43856811523438","159.43856811523438","159.43856811523438","136","136","136"
"1389","53.55964660644531","53.55964660644531","53.55964660644531","138","138","138"
"1399","75.18167114257812","75.18167114257812","75.18167114257812","139","139","139"
"1429","180.67323303222656","180.67323303222656","180.67323303222656","142","142","142"
"1439","305.2398376464844","305.2398376464844","305.2398376464844","143","143","143"
"1459","84.5596923828125","84.5596923828125","84.5596923828125","145","145","145"
"1489","60.267059326171875","60.267059326171875","60.267059326171875","148","148","148"
"1499","133.1055908203125","133.1055908203125","133.1055908203125","149","149","149"
"1509","63.47068405151367","63.47068405151367","63.47068405151367","150","150","150"
"1529","39.873260498046875","39.873260498046875","39.873260498046875","152","152","152"
"1539","128.78543090820312","128.78543090820312","128.78543090820312","153","153","153"
"1549","210.7893829345703","210.7893829345703","210.7893829345703","154","154","154"
"1569","41.17582702636719","41.17582702636719","41.17582702636719","156","156","156"
"1579","66.42227935791016","66.42227935791016","66.42227935791016","157","157","157"
"1599","152.60418701171875","152.60418701171875","152.60418701171875","159","159","159"
"1629","158.4706573486328","158.4706573486328","158.4706573486328","162","162","162"
"1639","123.82981872558594","123.82981872558594","123.82981872558594","163","163","163"
"1669","42.89624786376953","42.89624786376953","42.89624786376953","166","166","166"
"1679","110.40081787109375","110.40081787109375","110.40081787109375","167","167","167"
"1709","39.2321891784668","39.2321891784668","39.2321891784668","170","170","170"
"1719","118.40599822998047","118.40599822998047","118.40599822998047","171","171","171"
"1729","52.062904357910156","52.062904357910156","52.062904357910156","172","172","172"
"1739","203.74227905273438","203.74227905273438","203.74227905273438","173","173","173"
"1749","62.70513153076172","62.70513153076172","62.70513153076172","174","174","174"
"1759","52.73351287841797","52.73351287841797","52.73351287841797","175","175","175"
"1779","33.03246307373047","33.03246307373047","33.03246307373047","177","177","177"
"1849","251.88690185546875","251.88690185546875","251.88690185546875","184","184","184"
"1859","64.09404754638672","64.09404754638672","64.09404754638672","185","185","185"
"1879","94.02277374267578","94.02277374267578","94.02277374267578","187","187","187"
"1899","105.47441864013672","105.47441864013672","105.47441864013672","189","189","189"
"1929","212.927734375","212.927734375","212.927734375","192","192","192"
"1949","49.40187454223633","49.40187454223633","49.40187454223633","194","194","194"
"1969","45.41102600097656","45.41102600097656","45.41102600097656","196","196","196"
"1979","87.81382751464844","87.81382751464844","87.81382751464844","197","197","197"
"2099","62.70931625366211","62.70931625366211","62.70931625366211","209","209","209"
"2119","127.70858001708984","127.70858001708984","127.70858001708984","211","211","211"
"2139","110.74848937988281","110.74848937988281","110.74848937988281","213","213","213"
"2219","69.85580444335938","69.85580444335938","69.85580444335938","221","221","221"
"2239","64.32341003417969","64.32341003417969","64.32341003417969","223","223","223"
