"Step","100H_causal_sinh - train_loss","100H_causal_sinh - train_loss__MIN","100H_causal_sinh - train_loss__MAX"
"0","494.225830078125","494.225830078125","494.225830078125"
"3","115.97439575195312","115.97439575195312","115.97439575195312"
"4","257.5578918457031","257.5578918457031","257.5578918457031"
"5","92.9411392211914","92.9411392211914","92.9411392211914"
"9","106.48407745361328","106.48407745361328","106.48407745361328"
"11","101.78884887695312","101.78884887695312","101.78884887695312"
"14","164.87539672851562","164.87539672851562","164.87539672851562"
"16","117.09293365478516","117.09293365478516","117.09293365478516"
"17","113.22605895996094","113.22605895996094","113.22605895996094"
"18","86.89547729492188","86.89547729492188","86.89547729492188"
"19","116.61946105957031","116.61946105957031","116.61946105957031"
"21","151.0194091796875","151.0194091796875","151.0194091796875"
"25","64.01239776611328","64.01239776611328","64.01239776611328"
"26","75.49930572509766","75.49930572509766","75.49930572509766"
"33","88.23089599609375","88.23089599609375","88.23089599609375"
"34","54.81402587890625","54.81402587890625","54.81402587890625"
"35","71.99131774902344","71.99131774902344","71.99131774902344"
"36","37.09567642211914","37.09567642211914","37.09567642211914"
"39","105.76969909667969","105.76969909667969","105.76969909667969"
"42","153.8515625","153.8515625","153.8515625"
"44","87.84171295166016","87.84171295166016","87.84171295166016"
"45","39.292930603027344","39.292930603027344","39.292930603027344"
"46","118.33951568603516","118.33951568603516","118.33951568603516"
"48","104.96279907226562","104.96279907226562","104.96279907226562"
"50","102.65830993652344","102.65830993652344","102.65830993652344"
"51","70.11569213867188","70.11569213867188","70.11569213867188"
"52","40.15808868408203","40.15808868408203","40.15808868408203"
"53","135.076416015625","135.076416015625","135.076416015625"
"56","84.36995697021484","84.36995697021484","84.36995697021484"
"57","69.364013671875","69.364013671875","69.364013671875"
"58","56.457122802734375","56.457122802734375","56.457122802734375"
"59","133.92605590820312","133.92605590820312","133.92605590820312"
"62","159.9163360595703","159.9163360595703","159.9163360595703"
"63","41.45824432373047","41.45824432373047","41.45824432373047"
"66","155.12049865722656","155.12049865722656","155.12049865722656"
"68","66.1886215209961","66.1886215209961","66.1886215209961"
"70","148.93661499023438","148.93661499023438","148.93661499023438"
"71","141.3291473388672","141.3291473388672","141.3291473388672"
"72","62.2872200012207","62.2872200012207","62.2872200012207"
"73","107.53935241699219","107.53935241699219","107.53935241699219"
"74","112.97512817382812","112.97512817382812","112.97512817382812"
"76","65.53853607177734","65.53853607177734","65.53853607177734"
"77","114.82308197021484","114.82308197021484","114.82308197021484"
"79","59.317657470703125","59.317657470703125","59.317657470703125"
"82","56.07260513305664","56.07260513305664","56.07260513305664"
"83","37.706939697265625","37.706939697265625","37.706939697265625"
"87","83.22952270507812","83.22952270507812","83.22952270507812"
"88","106.45098876953125","106.45098876953125","106.45098876953125"
"91","90.82959747314453","90.82959747314453","90.82959747314453"
"93","109.62003326416016","109.62003326416016","109.62003326416016"
"94","104.15795135498047","104.15795135498047","104.15795135498047"
"96","83.69487762451172","83.69487762451172","83.69487762451172"
"99","75.76080322265625","75.76080322265625","75.76080322265625"
"100","81.21196746826172","81.21196746826172","81.21196746826172"
"102","73.75405883789062","73.75405883789062","73.75405883789062"
"103","104.43953704833984","104.43953704833984","104.43953704833984"
"105","160.2764892578125","160.2764892578125","160.2764892578125"
"107","37.186344146728516","37.186344146728516","37.186344146728516"
"108","92.70113372802734","92.70113372802734","92.70113372802734"
"117","40.05442810058594","40.05442810058594","40.05442810058594"
"118","59.982662200927734","59.982662200927734","59.982662200927734"
"121","72.2162094116211","72.2162094116211","72.2162094116211"
"123","80.63578796386719","80.63578796386719","80.63578796386719"
"125","113.15972900390625","113.15972900390625","113.15972900390625"
"127","134.33309936523438","134.33309936523438","134.33309936523438"
"135","56.818275451660156","56.818275451660156","56.818275451660156"
"136","119.76980590820312","119.76980590820312","119.76980590820312"
"138","69.53258514404297","69.53258514404297","69.53258514404297"
"139","71.44009399414062","71.44009399414062","71.44009399414062"
"142","100.48042297363281","100.48042297363281","100.48042297363281"
"143","335.2284240722656","335.2284240722656","335.2284240722656"
"145","77.40325927734375","77.40325927734375","77.40325927734375"
"146","79.27748107910156","79.27748107910156","79.27748107910156"
"148","45.154212951660156","45.154212951660156","45.154212951660156"
"149","121.69320678710938","121.69320678710938","121.69320678710938"
"150","80.184326171875","80.184326171875","80.184326171875"
"152","39.637596130371094","39.637596130371094","39.637596130371094"
"153","96.07807159423828","96.07807159423828","96.07807159423828"
"154","143.67916870117188","143.67916870117188","143.67916870117188"
"156","33.8383674621582","33.8383674621582","33.8383674621582"
"157","103.33256530761719","103.33256530761719","103.33256530761719"
"159","124.07167053222656","124.07167053222656","124.07167053222656"
"162","92.61490631103516","92.61490631103516","92.61490631103516"
"163","97.51774597167969","97.51774597167969","97.51774597167969"
"166","44.27058029174805","44.27058029174805","44.27058029174805"
"167","67.78065490722656","67.78065490722656","67.78065490722656"
"169","62.606101989746094","62.606101989746094","62.606101989746094"
"170","36.99730682373047","36.99730682373047","36.99730682373047"
"171","136.7663116455078","136.7663116455078","136.7663116455078"
"172","54.34941101074219","54.34941101074219","54.34941101074219"
"173","259.6564025878906","259.6564025878906","259.6564025878906"
"174","59.61559295654297","59.61559295654297","59.61559295654297"
"175","103.36111450195312","103.36111450195312","103.36111450195312"
"177","33.06150436401367","33.06150436401367","33.06150436401367"
"184","269.2582702636719","269.2582702636719","269.2582702636719"
"185","56.93151092529297","56.93151092529297","56.93151092529297"
"187","103.43831634521484","103.43831634521484","103.43831634521484"
"189","151.58111572265625","151.58111572265625","151.58111572265625"
