"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX"
"0","1073.9339599609375","1073.9339599609375","1073.9339599609375"
"1","137.79624938964844","137.79624938964844","137.79624938964844"
"2","372.7690124511719","372.7690124511719","372.7690124511719"
"3","201.63235473632812","201.63235473632812","201.63235473632812"
"4","683.0999755859375","683.0999755859375","683.0999755859375"
"5","177.35836791992188","177.35836791992188","177.35836791992188"
"6","331.3688049316406","331.3688049316406","331.3688049316406"
"7","206.78274536132812","206.78274536132812","206.78274536132812"
"8","469.8865966796875","469.8865966796875","469.8865966796875"
"9","244.87060546875","244.87060546875","244.87060546875"
"10","248.6329345703125","248.6329345703125","248.6329345703125"
"11","212.84722900390625","212.84722900390625","212.84722900390625"
"12","695.31103515625","695.31103515625","695.31103515625"
"13","321.1082458496094","321.1082458496094","321.1082458496094"
"14","380.2246398925781","380.2246398925781","380.2246398925781"
"15","137.7477264404297","137.7477264404297","137.7477264404297"
"16","255.75294494628906","255.75294494628906","255.75294494628906"
"17","256.8922119140625","256.8922119140625","256.8922119140625"
"18","176.7818603515625","176.7818603515625","176.7818603515625"
"19","249.97457885742188","249.97457885742188","249.97457885742188"
"20","52.03746032714844","52.03746032714844","52.03746032714844"
"21","296.46380615234375","296.46380615234375","296.46380615234375"
"22","74.48992919921875","74.48992919921875","74.48992919921875"
"23","311.9172058105469","311.9172058105469","311.9172058105469"
"24","239.97027587890625","239.97027587890625","239.97027587890625"
"25","100.02645111083984","100.02645111083984","100.02645111083984"
"26","121.02238464355469","121.02238464355469","121.02238464355469"
"27","53.89884948730469","53.89884948730469","53.89884948730469"
"28","62.51350021362305","62.51350021362305","62.51350021362305"
"29","162.40338134765625","162.40338134765625","162.40338134765625"
"30","143.46749877929688","143.46749877929688","143.46749877929688"
"31","369.30908203125","369.30908203125","369.30908203125"
"32","86.06216430664062","86.06216430664062","86.06216430664062"
"33","135.4185791015625","135.4185791015625","135.4185791015625"
"34","83.0472412109375","83.0472412109375","83.0472412109375"
"35","130.1864013671875","130.1864013671875","130.1864013671875"
"36","38.79253005981445","38.79253005981445","38.79253005981445"
"37","49.825279235839844","49.825279235839844","49.825279235839844"
"38","92.3267822265625","92.3267822265625","92.3267822265625"
"39","157.26751708984375","157.26751708984375","157.26751708984375"
"40","156.544189453125","156.544189453125","156.544189453125"
"41","157.34735107421875","157.34735107421875","157.34735107421875"
"42","295.2135925292969","295.2135925292969","295.2135925292969"
"43","180.1567840576172","180.1567840576172","180.1567840576172"
"44","202.88784790039062","202.88784790039062","202.88784790039062"
"45","42.271934509277344","42.271934509277344","42.271934509277344"
"46","307.4233093261719","307.4233093261719","307.4233093261719"
"47","54.32045364379883","54.32045364379883","54.32045364379883"
"48","213.34791564941406","213.34791564941406","213.34791564941406"
"49","138.63121032714844","138.63121032714844","138.63121032714844"
"50","213.55087280273438","213.55087280273438","213.55087280273438"
"51","114.29875946044922","114.29875946044922","114.29875946044922"
"52","42.86901092529297","42.86901092529297","42.86901092529297"
"53","224.35589599609375","224.35589599609375","224.35589599609375"
"54","149.4473876953125","149.4473876953125","149.4473876953125"
"55","91.19963073730469","91.19963073730469","91.19963073730469"
"56","166.93923950195312","166.93923950195312","166.93923950195312"
"57","126.51007843017578","126.51007843017578","126.51007843017578"
"58","91.92408752441406","91.92408752441406","91.92408752441406"
"59","257.6214599609375","257.6214599609375","257.6214599609375"
"60","288.8805847167969","288.8805847167969","288.8805847167969"
"61","324.79803466796875","324.79803466796875","324.79803466796875"
"62","391.00830078125","391.00830078125","391.00830078125"
"63","43.91295623779297","43.91295623779297","43.91295623779297"
"64","103.04086303710938","103.04086303710938","103.04086303710938"
"65","147.38238525390625","147.38238525390625","147.38238525390625"
"66","278.1938781738281","278.1938781738281","278.1938781738281"
"67","40.65186309814453","40.65186309814453","40.65186309814453"
"68","96.70269775390625","96.70269775390625","96.70269775390625"
"69","106.20481872558594","106.20481872558594","106.20481872558594"
"70","243.8262939453125","243.8262939453125","243.8262939453125"
"71","266.3274230957031","266.3274230957031","266.3274230957031"
"72","117.43630981445312","117.43630981445312","117.43630981445312"
"73","186.29803466796875","186.29803466796875","186.29803466796875"
"74","301.2634582519531","301.2634582519531","301.2634582519531"
"75","183.57684326171875","183.57684326171875","183.57684326171875"
"76","94.12967681884766","94.12967681884766","94.12967681884766"
"77","197.4072723388672","197.4072723388672","197.4072723388672"
"78","231.0590057373047","231.0590057373047","231.0590057373047"
"79","90.40998840332031","90.40998840332031","90.40998840332031"
"80","45.780853271484375","45.780853271484375","45.780853271484375"
"81","43.627479553222656","43.627479553222656","43.627479553222656"
"82","81.14997863769531","81.14997863769531","81.14997863769531"
"83","40.48710250854492","40.48710250854492","40.48710250854492"
"84","206.7438507080078","206.7438507080078","206.7438507080078"
"85","137.7759552001953","137.7759552001953","137.7759552001953"
"86","389.6418151855469","389.6418151855469","389.6418151855469"
"87","263.6204833984375","263.6204833984375","263.6204833984375"
"88","207.18756103515625","207.18756103515625","207.18756103515625"
"89","425.692626953125","425.692626953125","425.692626953125"
"90","418.7539367675781","418.7539367675781","418.7539367675781"
"91","211.42376708984375","211.42376708984375","211.42376708984375"
"92","75.51424407958984","75.51424407958984","75.51424407958984"
"93","226.344482421875","226.344482421875","226.344482421875"
"94","217.52345275878906","217.52345275878906","217.52345275878906"
"95","106.68107604980469","106.68107604980469","106.68107604980469"
"96","202.6641082763672","202.6641082763672","202.6641082763672"
"97","37.055057525634766","37.055057525634766","37.055057525634766"
"98","208.4641876220703","208.4641876220703","208.4641876220703"
"99","139.8917694091797","139.8917694091797","139.8917694091797"
"100","150.317626953125","150.317626953125","150.317626953125"
"101","169.62112426757812","169.62112426757812","169.62112426757812"
"102","123.04508972167969","123.04508972167969","123.04508972167969"
"103","277.966552734375","277.966552734375","277.966552734375"
"104","91.64385986328125","91.64385986328125","91.64385986328125"
