"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX","100H_causal_sinh - train_loss","100H_causal_sinh - train_loss__MIN","100H_causal_sinh - train_loss__MAX"
"0","525.0172119140625","525.0172119140625","525.0172119140625","494.225830078125","494.225830078125","494.225830078125"
"3","112.52120971679688","112.52120971679688","112.52120971679688","115.97439575195312","115.97439575195312","115.97439575195312"
"4","349.9147644042969","349.9147644042969","349.9147644042969","257.5578918457031","257.5578918457031","257.5578918457031"
"5","101.36058807373047","101.36058807373047","101.36058807373047","92.9411392211914","92.9411392211914","92.9411392211914"
"9","132.99034118652344","132.99034118652344","132.99034118652344","106.48407745361328","106.48407745361328","106.48407745361328"
"11","133.28421020507812","133.28421020507812","133.28421020507812","101.78884887695312","101.78884887695312","101.78884887695312"
"14","217.67373657226562","217.67373657226562","217.67373657226562","164.87539672851562","164.87539672851562","164.87539672851562"
"16","151.98654174804688","151.98654174804688","151.98654174804688","117.09293365478516","117.09293365478516","117.09293365478516"
"17","139.59432983398438","139.59432983398438","139.59432983398438","113.22605895996094","113.22605895996094","113.22605895996094"
"18","84.32296752929688","84.32296752929688","84.32296752929688","86.89547729492188","86.89547729492188","86.89547729492188"
"19","131.15185546875","131.15185546875","131.15185546875","116.61946105957031","116.61946105957031","116.61946105957031"
"21","171.96737670898438","171.96737670898438","171.96737670898438","151.0194091796875","151.0194091796875","151.0194091796875"
"25","68.55420684814453","68.55420684814453","68.55420684814453","64.01239776611328","64.01239776611328","64.01239776611328"
"26","85.99017333984375","85.99017333984375","85.99017333984375","75.49930572509766","75.49930572509766","75.49930572509766"
"33","81.71197509765625","81.71197509765625","81.71197509765625","88.23089599609375","88.23089599609375","88.23089599609375"
"34","60.12888717651367","60.12888717651367","60.12888717651367","54.81402587890625","54.81402587890625","54.81402587890625"
"35","80.15425109863281","80.15425109863281","80.15425109863281","71.99131774902344","71.99131774902344","71.99131774902344"
"36","34.22649383544922","34.22649383544922","34.22649383544922","37.09567642211914","37.09567642211914","37.09567642211914"
"39","104.10031127929688","104.10031127929688","104.10031127929688","105.76969909667969","105.76969909667969","105.76969909667969"
"42","204.1309814453125","204.1309814453125","204.1309814453125","153.8515625","153.8515625","153.8515625"
"44","109.09503173828125","109.09503173828125","109.09503173828125","87.84171295166016","87.84171295166016","87.84171295166016"
"45","36.10354232788086","36.10354232788086","36.10354232788086","39.292930603027344","39.292930603027344","39.292930603027344"
