"Step","causal_nosinh_pt2 - train_loss","causal_nosinh_pt2 - train_loss__MIN","causal_nosinh_pt2 - train_loss__MAX"
"0","40.47120666503906","40.47120666503906","40.47120666503906"
"1","30.646930694580078","30.646930694580078","30.646930694580078"
"3","34.80165100097656","34.80165100097656","34.80165100097656"
"4","36.70979309082031","36.70979309082031","36.70979309082031"
"5","34.69932556152344","34.69932556152344","34.69932556152344"
"7","32.94520568847656","32.94520568847656","32.94520568847656"
"8","54.77243423461914","54.77243423461914","54.77243423461914"
"9","36.07365036010742","36.07365036010742","36.07365036010742"
"10","33.22001266479492","33.22001266479492","33.22001266479492"
"11","37.00313186645508","37.00313186645508","37.00313186645508"
"14","41.181304931640625","41.181304931640625","41.181304931640625"
"15","33.862606048583984","33.862606048583984","33.862606048583984"
"16","41.67396545410156","41.67396545410156","41.67396545410156"
"17","34.29054260253906","34.29054260253906","34.29054260253906"
"18","39.55317687988281","39.55317687988281","39.55317687988281"
"19","38.58817672729492","38.58817672729492","38.58817672729492"
"20","29.852977752685547","29.852977752685547","29.852977752685547"
"21","37.21538543701172","37.21538543701172","37.21538543701172"
"22","32.819923400878906","32.819923400878906","32.819923400878906"
"25","31.55386734008789","31.55386734008789","31.55386734008789"
"26","31.10216522216797","31.10216522216797","31.10216522216797"
"27","28.580669403076172","28.580669403076172","28.580669403076172"
"28","33.19874572753906","33.19874572753906","33.19874572753906"
"29","35.08031463623047","35.08031463623047","35.08031463623047"
"30","37.138648986816406","37.138648986816406","37.138648986816406"
"31","49.86849594116211","49.86849594116211","49.86849594116211"
"32","29.982463836669922","29.982463836669922","29.982463836669922"
"33","40.08550262451172","40.08550262451172","40.08550262451172"
"34","31.32804298400879","31.32804298400879","31.32804298400879"
"35","32.26606369018555","32.26606369018555","32.26606369018555"
"36","27.26276397705078","27.26276397705078","27.26276397705078"
"38","32.2691650390625","32.2691650390625","32.2691650390625"
"39","31.291671752929688","31.291671752929688","31.291671752929688"
"40","27.937297821044922","27.937297821044922","27.937297821044922"
"41","41.56277847290039","41.56277847290039","41.56277847290039"
"42","51.1534423828125","51.1534423828125","51.1534423828125"
"43","43.62458801269531","43.62458801269531","43.62458801269531"
"44","35.24614334106445","35.24614334106445","35.24614334106445"
"45","30.553131103515625","30.553131103515625","30.553131103515625"
"46","40.88591003417969","40.88591003417969","40.88591003417969"
"47","30.738693237304688","30.738693237304688","30.738693237304688"
"48","39.88046646118164","39.88046646118164","39.88046646118164"
"50","32.953548431396484","32.953548431396484","32.953548431396484"
"51","34.33061981201172","34.33061981201172","34.33061981201172"
"52","31.34965705871582","31.34965705871582","31.34965705871582"
"53","37.55448913574219","37.55448913574219","37.55448913574219"
"54","37.52116394042969","37.52116394042969","37.52116394042969"
"55","35.0889778137207","35.0889778137207","35.0889778137207"
