"Step","causal_nosinh_pt1 - train_loss","causal_nosinh_pt1 - train_loss__MIN","causal_nosinh_pt1 - train_loss__MAX"
"0","326.988037109375","326.988037109375","326.988037109375"
"1","79.41522216796875","79.41522216796875","79.41522216796875"
"3","87.09808349609375","87.09808349609375","87.09808349609375"
"4","153.76287841796875","153.76287841796875","153.76287841796875"
"5","72.46861267089844","72.46861267089844","72.46861267089844"
"7","76.4114990234375","76.4114990234375","76.4114990234375"
"8","135.16969299316406","135.16969299316406","135.16969299316406"
"9","80.66342163085938","80.66342163085938","80.66342163085938"
"10","73.79998016357422","73.79998016357422","73.79998016357422"
"11","73.60826110839844","73.60826110839844","73.60826110839844"
"12","169.04493713378906","169.04493713378906","169.04493713378906"
"14","122.91865539550781","122.91865539550781","122.91865539550781"
"15","63.56483459472656","63.56483459472656","63.56483459472656"
"16","87.8862075805664","87.8862075805664","87.8862075805664"
"17","83.51280212402344","83.51280212402344","83.51280212402344"
"18","76.01366424560547","76.01366424560547","76.01366424560547"
"19","93.27375793457031","93.27375793457031","93.27375793457031"
"20","40.56954574584961","40.56954574584961","40.56954574584961"
"21","103.51222229003906","103.51222229003906","103.51222229003906"
"22","48.16748046875","48.16748046875","48.16748046875"
"23","98.92427062988281","98.92427062988281","98.92427062988281"
"24","90.51102447509766","90.51102447509766","90.51102447509766"
"25","52.75511932373047","52.75511932373047","52.75511932373047"
"26","54.309024810791016","54.309024810791016","54.309024810791016"
"27","42.7194938659668","42.7194938659668","42.7194938659668"
"28","54.707130432128906","54.707130432128906","54.707130432128906"
"29","73.41999053955078","73.41999053955078","73.41999053955078"
"30","62.54911804199219","62.54911804199219","62.54911804199219"
"31","123.90534210205078","123.90534210205078","123.90534210205078"
"32","45.31715393066406","45.31715393066406","45.31715393066406"
"33","61.48704147338867","61.48704147338867","61.48704147338867"
"34","46.21446228027344","46.21446228027344","46.21446228027344"
"35","57.76078796386719","57.76078796386719","57.76078796386719"
"36","34.06345748901367","34.06345748901367","34.06345748901367"
"37","40.50043487548828","40.50043487548828","40.50043487548828"
"38","51.9854850769043","51.9854850769043","51.9854850769043"
"39","66.70447540283203","66.70447540283203","66.70447540283203"
"40","52.645835876464844","52.645835876464844","52.645835876464844"
"41","66.49241638183594","66.49241638183594","66.49241638183594"
"42","98.60845184326172","98.60845184326172","98.60845184326172"
"43","77.07987976074219","77.07987976074219","77.07987976074219"
"44","65.40023803710938","65.40023803710938","65.40023803710938"
"45","36.59858703613281","36.59858703613281","36.59858703613281"
"46","81.58528137207031","81.58528137207031","81.58528137207031"
"47","38.86685562133789","38.86685562133789","38.86685562133789"
"48","75.32192993164062","75.32192993164062","75.32192993164062"
"50","67.89472961425781","67.89472961425781","67.89472961425781"
"51","55.96739959716797","55.96739959716797","55.96739959716797"
"52","37.47661590576172","37.47661590576172","37.47661590576172"
"53","82.0525894165039","82.0525894165039","82.0525894165039"
"54","60.44974899291992","60.44974899291992","60.44974899291992"
"55","48.925086975097656","48.925086975097656","48.925086975097656"
"56","63.84016799926758","63.84016799926758","63.84016799926758"
"57","58.05079650878906","58.05079650878906","58.05079650878906"
"58","44.262821197509766","44.262821197509766","44.262821197509766"
"59","99.55603790283203","99.55603790283203","99.55603790283203"
"60","76.6354751586914","76.6354751586914","76.6354751586914"
"61","187.37738037109375","187.37738037109375","187.37738037109375"
"62","114.87996673583984","114.87996673583984","114.87996673583984"
"63","38.42179489135742","38.42179489135742","38.42179489135742"
"64","50.290550231933594","50.290550231933594","50.290550231933594"
"65","62.121665954589844","62.121665954589844","62.121665954589844"
"66","104.13407897949219","104.13407897949219","104.13407897949219"
"67","36.001461029052734","36.001461029052734","36.001461029052734"
"68","50.52187728881836","50.52187728881836","50.52187728881836"
"69","54.18013000488281","54.18013000488281","54.18013000488281"
"70","115.19974517822266","115.19974517822266","115.19974517822266"
"71","93.52050018310547","93.52050018310547","93.52050018310547"
"72","53.23332595825195","53.23332595825195","53.23332595825195"
"73","84.78436279296875","84.78436279296875","84.78436279296875"
"74","94.6307373046875","94.6307373046875","94.6307373046875"
"75","80.08212280273438","80.08212280273438","80.08212280273438"
"76","58.04808044433594","58.04808044433594","58.04808044433594"
"77","109.44154357910156","109.44154357910156","109.44154357910156"
"78","76.8930892944336","76.8930892944336","76.8930892944336"
"79","50.51554489135742","50.51554489135742","50.51554489135742"
"81","39.96096420288086","39.96096420288086","39.96096420288086"
"82","47.363311767578125","47.363311767578125","47.363311767578125"
"83","36.32054138183594","36.32054138183594","36.32054138183594"
"84","74.61858367919922","74.61858367919922","74.61858367919922"
"85","74.51663970947266","74.51663970947266","74.51663970947266"
"86","111.49539947509766","111.49539947509766","111.49539947509766"
"87","72.55879211425781","72.55879211425781","72.55879211425781"
"88","73.36280822753906","73.36280822753906","73.36280822753906"
"89","94.3729248046875","94.3729248046875","94.3729248046875"
"90","100.98200988769531","100.98200988769531","100.98200988769531"
"91","66.22149658203125","66.22149658203125","66.22149658203125"
"92","43.481201171875","43.481201171875","43.481201171875"
"93","85.4310302734375","85.4310302734375","85.4310302734375"
"94","76.19107818603516","76.19107818603516","76.19107818603516"
"95","44.62409973144531","44.62409973144531","44.62409973144531"
"96","60.24340057373047","60.24340057373047","60.24340057373047"
"97","31.91820526123047","31.91820526123047","31.91820526123047"
"98","66.0190658569336","66.0190658569336","66.0190658569336"
"99","66.1466064453125","66.1466064453125","66.1466064453125"
"100","73.64102172851562","73.64102172851562","73.64102172851562"
"101","67.56211853027344","67.56211853027344","67.56211853027344"
