"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX"
"150","4283.095703125","4283.095703125","4283.095703125"
"152","2934.283935546875","2934.283935546875","2934.283935546875"
"153","3945.29150390625","3945.29150390625","3945.29150390625"
"154","4834.70947265625","4834.70947265625","4834.70947265625"
"156","2639.123291015625","2639.123291015625","2639.123291015625"
"157","5099.64501953125","5099.64501953125","5099.64501953125"
"159","5505.1943359375","5505.1943359375","5505.1943359375"
"162","3982.341796875","3982.341796875","3982.341796875"
"163","4783.056640625","4783.056640625","4783.056640625"
"166","2984.453125","2984.453125","2984.453125"
"167","4390.64404296875","4390.64404296875","4390.64404296875"
"170","3018.622314453125","3018.622314453125","3018.622314453125"
"171","4454.3515625","4454.3515625","4454.3515625"
"172","3692.7880859375","3692.7880859375","3692.7880859375"
"173","8026.56884765625","8026.56884765625","8026.56884765625"
"174","3413.65771484375","3413.65771484375","3413.65771484375"
"175","4023.762939453125","4023.762939453125","4023.762939453125"
"177","2610.797607421875","2610.797607421875","2610.797607421875"
"184","7683.63525390625","7683.63525390625","7683.63525390625"
"185","2951.80517578125","2951.80517578125","2951.80517578125"
"187","4463.9345703125","4463.9345703125","4463.9345703125"
"189","5569.349609375","5569.349609375","5569.349609375"
"192","5815.3251953125","5815.3251953125","5815.3251953125"
"194","3714.16015625","3714.16015625","3714.16015625"
"196","3549.459228515625","3549.459228515625","3549.459228515625"
"197","3434.958984375","3434.958984375","3434.958984375"
"209","3817.2197265625","3817.2197265625","3817.2197265625"
"211","4385.84716796875","4385.84716796875","4385.84716796875"
"213","4798.60595703125","4798.60595703125","4798.60595703125"
"221","4895.41064453125","4895.41064453125","4895.41064453125"
"223","3992.300048828125","3992.300048828125","3992.300048828125"
"224","3616.50341796875","3616.50341796875","3616.50341796875"
"225","3660.9736328125","3660.9736328125","3660.9736328125"
"226","3818.387451171875","3818.387451171875","3818.387451171875"
"227","3840.33984375","3840.33984375","3840.33984375"
"229","4001.19775390625","4001.19775390625","4001.19775390625"
"230","4864.10595703125","4864.10595703125","4864.10595703125"
"233","4496.24755859375","4496.24755859375","4496.24755859375"
"234","6508.5556640625","6508.5556640625","6508.5556640625"
"235","6127.3837890625","6127.3837890625","6127.3837890625"
"240","3572.687255859375","3572.687255859375","3572.687255859375"
"243","5566.392578125","5566.392578125","5566.392578125"
"244","5625.02001953125","5625.02001953125","5625.02001953125"
"246","5411.6630859375","5411.6630859375","5411.6630859375"
"247","2876.833984375","2876.833984375","2876.833984375"
"249","2752.173583984375","2752.173583984375","2752.173583984375"
"253","3898.873779296875","3898.873779296875","3898.873779296875"
"254","3402.843505859375","3402.843505859375","3402.843505859375"
"258","5622.669921875","5622.669921875","5622.669921875"
"265","2807.14794921875","2807.14794921875","2807.14794921875"
"267","5148.3515625","5148.3515625","5148.3515625"
"269","3515.44091796875","3515.44091796875","3515.44091796875"
"272","2658.43359375","2658.43359375","2658.43359375"
"273","6456.9208984375","6456.9208984375","6456.9208984375"
"276","2589.799560546875","2589.799560546875","2589.799560546875"
"277","5938.416015625","5938.416015625","5938.416015625"
"280","5739.43505859375","5739.43505859375","5739.43505859375"
"283","3127.8955078125","3127.8955078125","3127.8955078125"
"289","4285.48974609375","4285.48974609375","4285.48974609375"
"291","2765.081787109375","2765.081787109375","2765.081787109375"
"294","3289.468994140625","3289.468994140625","3289.468994140625"
"300","2123.506591796875","2123.506591796875","2123.506591796875"
"302","2630.45849609375","2630.45849609375","2630.45849609375"
"303","4244.857421875","4244.857421875","4244.857421875"
"304","4256.32861328125","4256.32861328125","4256.32861328125"
"305","3546.537841796875","3546.537841796875","3546.537841796875"
"308","3871.873291015625","3871.873291015625","3871.873291015625"
"309","4210.46435546875","4210.46435546875","4210.46435546875"
"313","3805.85986328125","3805.85986328125","3805.85986328125"
"314","4269.52734375","4269.52734375","4269.52734375"
