"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX"
"0","21.850521087646484","21.850521087646484","21.850521087646484"
"1","19.924896240234375","19.924896240234375","19.924896240234375"
"2","19.40933609008789","19.40933609008789","19.40933609008789"
"3","19.128297805786133","19.128297805786133","19.128297805786133"
"4","22.942344665527344","22.942344665527344","22.942344665527344"
"5","20.46864128112793","20.46864128112793","20.46864128112793"
"6","20.21702003479004","20.21702003479004","20.21702003479004"
"7","20.29578971862793","20.29578971862793","20.29578971862793"
"8","24.209566116333008","24.209566116333008","24.209566116333008"
"9","21.806808471679688","21.806808471679688","21.806808471679688"
"10","20.29642105102539","20.29642105102539","20.29642105102539"
"11","22.76915740966797","22.76915740966797","22.76915740966797"
"12","22.350452423095703","22.350452423095703","22.350452423095703"
"13","21.777557373046875","21.777557373046875","21.777557373046875"
"14","24.351795196533203","24.351795196533203","24.351795196533203"
"15","20.094970703125","20.094970703125","20.094970703125"
"16","22.617130279541016","22.617130279541016","22.617130279541016"
"17","22.24814796447754","22.24814796447754","22.24814796447754"
"18","24.960872650146484","24.960872650146484","24.960872650146484"
"19","23.170074462890625","23.170074462890625","23.170074462890625"
"20","19.445810317993164","19.445810317993164","19.445810317993164"
"21","23.129791259765625","23.129791259765625","23.129791259765625"
"22","20.912796020507812","20.912796020507812","20.912796020507812"
"23","20.42022705078125","20.42022705078125","20.42022705078125"
"24","19.514286041259766","19.514286041259766","19.514286041259766"
"25","19.398216247558594","19.398216247558594","19.398216247558594"
"26","18.472917556762695","18.472917556762695","18.472917556762695"
"27","18.17620086669922","18.17620086669922","18.17620086669922"
"28","21.270030975341797","21.270030975341797","21.270030975341797"
"29","22.3730411529541","22.3730411529541","22.3730411529541"
"30","21.571029663085938","21.571029663085938","21.571029663085938"
"31","24.014530181884766","24.014530181884766","24.014530181884766"
"32","19.491565704345703","19.491565704345703","19.491565704345703"
"33","21.662094116210938","21.662094116210938","21.662094116210938"
"34","19.651369094848633","19.651369094848633","19.651369094848633"
"35","20.027978897094727","20.027978897094727","20.027978897094727"
