"Step","train_nocausal_correct_scheduler_pt2 - train_loss","train_nocausal_correct_scheduler_pt2 - train_loss__MIN","train_nocausal_correct_scheduler_pt2 - train_loss__MAX"
"0","35.10670852661133","35.10670852661133","35.10670852661133"
"1","27.605876922607422","27.605876922607422","27.605876922607422"
"2","31.887897491455078","31.887897491455078","31.887897491455078"
"3","29.105541229248047","29.105541229248047","29.105541229248047"
"4","41.72697448730469","41.72697448730469","41.72697448730469"
"5","32.826332092285156","32.826332092285156","32.826332092285156"
"6","31.207181930541992","31.207181930541992","31.207181930541992"
"7","30.912904739379883","30.912904739379883","30.912904739379883"
"8","52.45140838623047","52.45140838623047","52.45140838623047"
"9","34.43473815917969","34.43473815917969","34.43473815917969"
"10","31.109460830688477","31.109460830688477","31.109460830688477"
"11","34.96419906616211","34.96419906616211","34.96419906616211"
"12","49.28770446777344","49.28770446777344","49.28770446777344"
"13","34.55113983154297","34.55113983154297","34.55113983154297"
"14","38.40874099731445","38.40874099731445","38.40874099731445"
"15","31.594398498535156","31.594398498535156","31.594398498535156"
"16","37.24802017211914","37.24802017211914","37.24802017211914"
"17","35.6020393371582","35.6020393371582","35.6020393371582"
"18","36.23664093017578","36.23664093017578","36.23664093017578"
"19","37.42268753051758","37.42268753051758","37.42268753051758"
"20","26.511474609375","26.511474609375","26.511474609375"
"21","36.17854309082031","36.17854309082031","36.17854309082031"
"22","30.178085327148438","30.178085327148438","30.178085327148438"
"23","35.16357421875","35.16357421875","35.16357421875"
"24","35.5990104675293","35.5990104675293","35.5990104675293"
"25","28.630836486816406","28.630836486816406","28.630836486816406"
"26","27.647171020507812","27.647171020507812","27.647171020507812"
"27","25.168848037719727","25.168848037719727","25.168848037719727"
"28","28.9036865234375","28.9036865234375","28.9036865234375"
"29","38.015357971191406","38.015357971191406","38.015357971191406"
"30","31.64134407043457","31.64134407043457","31.64134407043457"
"31","49.086639404296875","49.086639404296875","49.086639404296875"
"32","27.024639129638672","27.024639129638672","27.024639129638672"
"33","33.04861068725586","33.04861068725586","33.04861068725586"
"34","28.02093505859375","28.02093505859375","28.02093505859375"
"35","28.828275680541992","28.828275680541992","28.828275680541992"
"36","23.991695404052734","23.991695404052734","23.991695404052734"
"37","28.414669036865234","28.414669036865234","28.414669036865234"
"38","29.763151168823242","29.763151168823242","29.763151168823242"
"39","28.928937911987305","28.928937911987305","28.928937911987305"
"40","27.1900691986084","27.1900691986084","27.1900691986084"
"41","34.460548400878906","34.460548400878906","34.460548400878906"
"42","53.37229537963867","53.37229537963867","53.37229537963867"
"43","36.477596282958984","36.477596282958984","36.477596282958984"
"44","37.41350173950195","37.41350173950195","37.41350173950195"
"45","26.88782501220703","26.88782501220703","26.88782501220703"
"46","45.171199798583984","45.171199798583984","45.171199798583984"
"47","27.60116195678711","27.60116195678711","27.60116195678711"
"48","40.22491455078125","40.22491455078125","40.22491455078125"
"49","32.27531814575195","32.27531814575195","32.27531814575195"
"50","32.555885314941406","32.555885314941406","32.555885314941406"
"51","39.492305755615234","39.492305755615234","39.492305755615234"
"52","27.593952178955078","27.593952178955078","27.593952178955078"
"53","37.58302307128906","37.58302307128906","37.58302307128906"
"54","35.235713958740234","35.235713958740234","35.235713958740234"
"55","31.603050231933594","31.603050231933594","31.603050231933594"
"56","37.55514144897461","37.55514144897461","37.55514144897461"
"57","29.631650924682617","29.631650924682617","29.631650924682617"
"58","27.084598541259766","27.084598541259766","27.084598541259766"
"59","48.66674041748047","48.66674041748047","48.66674041748047"
"60","37.316749572753906","37.316749572753906","37.316749572753906"
"61","46.69235610961914","46.69235610961914","46.69235610961914"
"62","42.913421630859375","42.913421630859375","42.913421630859375"
"63","26.736082077026367","26.736082077026367","26.736082077026367"
"64","32.96942901611328","32.96942901611328","32.96942901611328"
"65","32.165687561035156","32.165687561035156","32.165687561035156"
"66","47.73341751098633","47.73341751098633","47.73341751098633"
"67","26.585716247558594","26.585716247558594","26.585716247558594"
"68","28.97210693359375","28.97210693359375","28.97210693359375"
"69","30.395896911621094","30.395896911621094","30.395896911621094"
"70","37.71049499511719","37.71049499511719","37.71049499511719"
"71","37.008827209472656","37.008827209472656","37.008827209472656"
"72","30.012474060058594","30.012474060058594","30.012474060058594"
