"trainer/global_step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX","pretraining - _step","pretraining - _step__MIN","pretraining - _step__MAX"
"1369","96.77043914794922","96.77043914794922","96.77043914794922","136","136","136"
"1389","51.82380676269531","51.82380676269531","51.82380676269531","138","138","138"
"1399","64.76305389404297","64.76305389404297","64.76305389404297","139","139","139"
"1429","145.54901123046875","145.54901123046875","145.54901123046875","142","142","142"
"1439","433.0338134765625","433.0338134765625","433.0338134765625","143","143","143"
"1459","74.96124267578125","74.96124267578125","74.96124267578125","145","145","145"
"1469","59.924503326416016","59.924503326416016","59.924503326416016","146","146","146"
"1489","44.247459411621094","44.247459411621094","44.247459411621094","148","148","148"
"1499","80.44078063964844","80.44078063964844","80.44078063964844","149","149","149"
"1509","99.55072021484375","99.55072021484375","99.55072021484375","150","150","150"
"1529","40.808170318603516","40.808170318603516","40.808170318603516","152","152","152"
"1539","114.22225189208984","114.22225189208984","114.22225189208984","153","153","153"
"1549","111.15888977050781","111.15888977050781","111.15888977050781","154","154","154"
"1569","34.28947830200195","34.28947830200195","34.28947830200195","156","156","156"
"1579","91.01994323730469","91.01994323730469","91.01994323730469","157","157","157"
"1599","77.72944641113281","77.72944641113281","77.72944641113281","159","159","159"
"1629","74.38381958007812","74.38381958007812","74.38381958007812","162","162","162"
"1639","52.09507369995117","52.09507369995117","52.09507369995117","163","163","163"
"1669","45.997962951660156","45.997962951660156","45.997962951660156","166","166","166"
"1679","65.0267562866211","65.0267562866211","65.0267562866211","167","167","167"
"1699","53.42719268798828","53.42719268798828","53.42719268798828","169","169","169"
"1709","36.90568542480469","36.90568542480469","36.90568542480469","170","170","170"
"1719","66.34959411621094","66.34959411621094","66.34959411621094","171","171","171"
"1729","54.45787811279297","54.45787811279297","54.45787811279297","172","172","172"
"1739","325.5623474121094","325.5623474121094","325.5623474121094","173","173","173"
"1749","61.25898361206055","61.25898361206055","61.25898361206055","174","174","174"
"1759","44.387901306152344","44.387901306152344","44.387901306152344","175","175","175"
"1779","31.058307647705078","31.058307647705078","31.058307647705078","177","177","177"
"1849","124.34797668457031","124.34797668457031","124.34797668457031","184","184","184"
"1859","42.14554977416992","42.14554977416992","42.14554977416992","185","185","185"
"1879","94.22163391113281","94.22163391113281","94.22163391113281","187","187","187"
"1899","63.883026123046875","63.883026123046875","63.883026123046875","189","189","189"
"1929","83.77497863769531","83.77497863769531","83.77497863769531","192","192","192"
"1949","38.554771423339844","38.554771423339844","38.554771423339844","194","194","194"
"1969","38.793785095214844","38.793785095214844","38.793785095214844","196","196","196"
"1979","58.27850341796875","58.27850341796875","58.27850341796875","197","197","197"
"2099","39.64125442504883","39.64125442504883","39.64125442504883","209","209","209"
"2119","67.46533203125","67.46533203125","67.46533203125","211","211","211"
"2139","90.41111755371094","90.41111755371094","90.41111755371094","213","213","213"
"2219","89.24163055419922","89.24163055419922","89.24163055419922","221","221","221"
"2229","33.39841079711914","33.39841079711914","33.39841079711914","222","222","222"
"2239","63.35715103149414","63.35715103149414","63.35715103149414","223","223","223"
"2249","63.03713607788086","63.03713607788086","63.03713607788086","224","224","224"
"2259","50.8062744140625","50.8062744140625","50.8062744140625","225","225","225"
"2269","75.42276763916016","75.42276763916016","75.42276763916016","226","226","226"
"2279","85.92607116699219","85.92607116699219","85.92607116699219","227","227","227"
"2299","50.83934783935547","50.83934783935547","50.83934783935547","229","229","229"
"2309","98.80382537841797","98.80382537841797","98.80382537841797","230","230","230"
"2339","85.33773803710938","85.33773803710938","85.33773803710938","233","233","233"
"2349","132.82565307617188","132.82565307617188","132.82565307617188","234","234","234"
"2359","196.39566040039062","196.39566040039062","196.39566040039062","235","235","235"
"2409","51.17072677612305","51.17072677612305","51.17072677612305","240","240","240"
"2439","124.59710693359375","124.59710693359375","124.59710693359375","243","243","243"
"2449","99.15274047851562","99.15274047851562","99.15274047851562","244","244","244"
"2469","208.3427276611328","208.3427276611328","208.3427276611328","246","246","246"
"2479","39.7932243347168","39.7932243347168","39.7932243347168","247","247","247"
"2499","37.46508026123047","37.46508026123047","37.46508026123047","249","249","249"
"2539","77.7743911743164","77.7743911743164","77.7743911743164","253","253","253"
"2549","48.939659118652344","48.939659118652344","48.939659118652344","254","254","254"
"2569","80.51659393310547","80.51659393310547","80.51659393310547","256","256","256"
"2589","79.34082794189453","79.34082794189453","79.34082794189453","258","258","258"
"2659","38.0938606262207","38.0938606262207","38.0938606262207","265","265","265"
"2679","131.58050537109375","131.58050537109375","131.58050537109375","267","267","267"
"2699","59.375972747802734","59.375972747802734","59.375972747802734","269","269","269"
"2729","40.678955078125","40.678955078125","40.678955078125","272","272","272"
"2739","111.85418701171875","111.85418701171875","111.85418701171875","273","273","273"
"2769","47.51521301269531","47.51521301269531","47.51521301269531","276","276","276"
"2779","164.8697052001953","164.8697052001953","164.8697052001953","277","277","277"
"2799","49.835514068603516","49.835514068603516","49.835514068603516","279","279","279"
"2809","168.9246063232422","168.9246063232422","168.9246063232422","280","280","280"
"2839","47.61606979370117","47.61606979370117","47.61606979370117","283","283","283"
"2869","163.5769805908203","163.5769805908203","163.5769805908203","286","286","286"
"2899","96.22879028320312","96.22879028320312","96.22879028320312","289","289","289"
"2919","60.051673889160156","60.051673889160156","60.051673889160156","291","291","291"
"2949","71.9095458984375","71.9095458984375","71.9095458984375","294","294","294"
"3009","35.957725524902344","35.957725524902344","35.957725524902344","300","300","300"
"3029","35.2642707824707","35.2642707824707","35.2642707824707","302","302","302"
"3039","63.10078811645508","63.10078811645508","63.10078811645508","303","303","303"
"3049","108.98368072509766","108.98368072509766","108.98368072509766","304","304","304"
"3059","50.20658874511719","50.20658874511719","50.20658874511719","305","305","305"
"3089","105.03690338134766","105.03690338134766","105.03690338134766","308","308","308"
"3099","96.14240264892578","96.14240264892578","96.14240264892578","309","309","309"
"3139","57.05106735229492","57.05106735229492","57.05106735229492","313","313","313"
"3149","72.88566589355469","72.88566589355469","72.88566589355469","314","314","314"
"3169","87.163330078125","87.163330078125","87.163330078125","316","316","316"
"3179","36.120819091796875","36.120819091796875","36.120819091796875","317","317","317"
"3199","137.74842834472656","137.74842834472656","137.74842834472656","319","319","319"
"3249","128.3939971923828","128.3939971923828","128.3939971923828","324","324","324"
"3259","120.77275085449219","120.77275085449219","120.77275085449219","325","325","325"
"3309","44.9160041809082","44.9160041809082","44.9160041809082","330","330","330"
"3319","86.6023178100586","86.6023178100586","86.6023178100586","331","331","331"
"3359","172.23550415039062","172.23550415039062","172.23550415039062","335","335","335"
"3369","46.51982498168945","46.51982498168945","46.51982498168945","336","336","336"
"3379","89.64678955078125","89.64678955078125","89.64678955078125","337","337","337"
"3439","136.7591552734375","136.7591552734375","136.7591552734375","343","343","343"
"3469","115.9289321899414","115.9289321899414","115.9289321899414","346","346","346"
"3489","54.05821228027344","54.05821228027344","54.05821228027344","348","348","348"
"3509","60.708770751953125","60.708770751953125","60.708770751953125","350","350","350"
"3529","48.643524169921875","48.643524169921875","48.643524169921875","352","352","352"
"3559","55.16999053955078","55.16999053955078","55.16999053955078","355","355","355"
"3609","64.96956634521484","64.96956634521484","64.96956634521484","360","360","360"
"3619","53.80232620239258","53.80232620239258","53.80232620239258","361","361","361"
"3649","87.145751953125","87.145751953125","87.145751953125","364","364","364"
"3669","64.67489624023438","64.67489624023438","64.67489624023438","366","366","366"
"3679","64.55953216552734","64.55953216552734","64.55953216552734","367","367","367"
"3699","52.54637145996094","52.54637145996094","52.54637145996094","369","369","369"
"3719","62.65088653564453","62.65088653564453","62.65088653564453","371","371","371"
"3769","54.14493179321289","54.14493179321289","54.14493179321289","376","376","376"
"3779","39.37060546875","39.37060546875","39.37060546875","377","377","377"
